Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs
1374834250667716608,"RT @Maiquel59232858 : All categories of immigrant visas in Cuba #IR5Visa #F1Visa #F3Visa #F4Visa #f2AVisa #F2BVisa #IR1Visa #IR2Visa #IR3Visa #IR4Visa #CR1Visa #CR2Visa #K1Visa #K2Visa #K3Visa #K4Visa #DV2020 #DV2021 &amp; #CFRP should be processed in our country, until when?
 #ConsularServisesInCuba",Neibis Aguilar,AguilarNeibis,2021-03-24T21:23:23.000Z,Wed Mar 24 21:23:23 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,20,0,,
1374521950156906498,"RT @Maiquel59232858 : All categories of immigrant visas in Cuba #IR5Visa #F1Visa #F3Visa #F4Visa #f2AVisa #F2BVisa #IR1Visa #IR2Visa #IR3Visa #IR4Visa #CR1Visa #CR2Visa #K1Visa #K2Visa #K3Visa #K4Visa #DV2020 #DV2021 &amp; #CFRP should be processed in our country, until when?
 #ConsularServisesInCuba",Yeniesel,yeniesel,2021-03-24T00:42:24.000Z,Wed Mar 24 00:42:24 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,20,0,,
1374515890327224321,"RT @Maiquel59232858 : All categories of immigrant visas in Cuba #IR5Visa #F1Visa #F3Visa #F4Visa #f2AVisa #F2BVisa #IR1Visa #IR2Visa #IR3Visa #IR4Visa #CR1Visa #CR2Visa #K1Visa #K2Visa #K3Visa #K4Visa #DV2020 #DV2021 &amp; #CFRP should be processed in our country, until when?
 #ConsularServisesInCuba",mercy coro,mercycoro,2021-03-24T00:18:20.000Z,Wed Mar 24 00:18:20 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,20,0,,
1374383002394927114,"Visit our FB page for an easy link to #IELTS testing in the USA or online: https://t.co/s31RuYTjJ7

#StudentInsurance #InternationalStudents #healthinsurance #healthcare #f1visa #daca #studyabroad #accidentinsurance #studentathletes #studenthealth #visa https://t.co/qTuAYYBLyt",Student Insurance,student_ins,2021-03-23T15:30:17.000Z,Tue Mar 23 15:30:17 +0000 2021,0,0,en,"<a href=""http://www.salesforce.com"" rel=""nofollow"">Salesforce - Social Studio</a>",Tweet,https://bddy.me/3vNK34h ,12,0,photo,https://pbs.twimg.com/media/ExLKDVxVoAAzAh-.jpg
1374346617428574209,"RT @Maiquel59232858 : All categories of immigrant visas in Cuba #IR5Visa #F1Visa #F3Visa #F4Visa #f2AVisa #F2BVisa #IR1Visa #IR2Visa #IR3Visa #IR4Visa #CR1Visa #CR2Visa #K1Visa #K2Visa #K3Visa #K4Visa #DV2020 #DV2021 &amp; #CFRP should be processed in our country, until when?
 #ConsularServisesInCuba",Nayra Mancebo,ManceboNayra,2021-03-23T13:05:42.000Z,Tue Mar 23 13:05:42 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,20,0,,
1374335919071883267,"RT @CubanasEn : #ReopenUSHavEmbassy 
#LasFamiliasCubanasImportan
#NoBan 
#DV2020 
#DV2021
#F1VISA
#F2AVISA
#F3VISA
#F2BVISA
#F4VISA
#OpenConsularServiceInHav",Yoersy Jiménez,YoersyJ,2021-03-23T12:23:11.000Z,Tue Mar 23 12:23:11 +0000 2021,0,0,und,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,11,0,,
1374086551609675784,"RT @Maiquel59232858 : All categories of immigrant visas in Cuba #IR5Visa #F1Visa #F3Visa #F4Visa #f2AVisa #F2BVisa #IR1Visa #IR2Visa #IR3Visa #IR4Visa #CR1Visa #CR2Visa #K1Visa #K2Visa #K3Visa #K4Visa #DV2020 #DV2021 &amp; #CFRP should be processed in our country, until when?
 #ConsularServisesInCuba",pablo alonso rodriguez,pabloalonsorod8,2021-03-22T19:52:17.000Z,Mon Mar 22 19:52:17 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,20,0,,
1373845445257072641,"RT @Maiquel59232858 : All categories of immigrant visas in Cuba #IR5Visa #F1Visa #F3Visa #F4Visa #f2AVisa #F2BVisa #IR1Visa #IR2Visa #IR3Visa #IR4Visa #CR1Visa #CR2Visa #K1Visa #K2Visa #K3Visa #K4Visa #DV2020 #DV2021 &amp; #CFRP should be processed in our country, until when?
 #ConsularServisesInCuba",Emilsis,Emilsis3,2021-03-22T03:54:13.000Z,Mon Mar 22 03:54:13 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,20,0,,
1373617839718948866,"RT @Maiquel59232858 : All categories of immigrant visas in Cuba #IR5Visa #F1Visa #F3Visa #F4Visa #f2AVisa #F2BVisa #IR1Visa #IR2Visa #IR3Visa #IR4Visa #CR1Visa #CR2Visa #K1Visa #K2Visa #K3Visa #K4Visa #DV2020 #DV2021 &amp; #CFRP should be processed in our country, until when?
 #ConsularServisesInCuba",Maribel,Maribel20459217,2021-03-21T12:49:48.000Z,Sun Mar 21 12:49:48 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,20,0,,
1373532273249820672,"RT @wofoytv : Study in America: Find the best University to Study in America | Student F1 Visa https://t.co/V8sses4WaZ
#f1visa #internationalstudent 
#studentvisa 
#America #wofoytv https://t.co/YwYKpcU3lB",Ghana Boy ????,see_sea_ccc,2021-03-21T07:09:47.000Z,Sun Mar 21 07:09:47 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://youtu.be/TbN9AvOiJSE ,5,0,photo,https://pbs.twimg.com/media/Ew9NEKhXEAsUCHy.jpg
