Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1374879760388562946,"Science for the international student series provides students with a variety of engaging and stimulating formats for learning, understanding for the Middle Years Programme.
https://t.co/b5aCiJVhUP

#Cengage #InternationalStudents #educhat #ibstudent #Students #science #edchat https://t.co/o0vTPSMyQp",PRONIN International,PRONINIB,2021-03-25T00:24:13.000Z,Thu Mar 25 00:24:13 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://proninib.com ,7,0,photo,https://pbs.twimg.com/media/ExSNpzmVoAMDIxH.jpg,,,
1374877391227650049,"RT @marialuisapaulr : ?? #Internationalstudents (F-1 or J-1 visa holders) — you’ll also be eligible to receive the vaccine if:
* You’ve been in residence in #Indiana for at least 6 months
* You have a temporary or permanent address in Indiana (including dorms). https://t.co/Ev2590d0Ml",Adriana Pérez,adrianamperezr,2021-03-25T00:14:48.000Z,Thu Mar 25 00:14:48 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://twitter.com/marialuisapaulr/status/1374499551629910031 ,2,0,,,,,
1374876321529085956,"?? #Internationalstudents (F-1 or J-1 visa holders) — you’ll also be eligible to receive the vaccine if:
* You’ve been in residence in #Indiana for at least 6 months
* You have a temporary or permanent address in Indiana (including dorms). https://t.co/Ev2590d0Ml",María Luisa Paúl,marialuisapaulr,2021-03-25T00:10:33.000Z,Thu Mar 25 00:10:33 +0000 2021,1,1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/marialuisapaulr/status/1374499551629910031 ,2,0,,,,,
1374876193581887495,"Today we had a special visitor in LEAP. Thank you @WSUPrezSue for stopping by and chatting with our students! We enjoyed the visit very much! 

#WrightStateRightSchool ?? ?? 
#YouAreWelcomeHere ??  
#internationalstudents ???? ???? ???? ???? 
#LEAPFamily?? 
#RaiderFamily ?? https://t.co/VCK6jQOaqn",LEAP Intensive English Program,LEAPWSU,2021-03-25T00:10:03.000Z,Thu Mar 25 00:10:03 +0000 2021,2,0,en,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Tweet,,5,1,photo,https://pbs.twimg.com/media/ExSKnDpWQAUbB-w.jpg,,,
1374872718235987973,#education #schoolcounselor #internationalstudents #englishlearners https://t.co/dERKecEA9S,plgrantandassociates,plgrantandasso1,2021-03-24T23:56:14.000Z,Wed Mar 24 23:56:14 +0000 2021,0,0,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,4,0,photo,https://pbs.twimg.com/media/ExSHcyUWQAI9NlZ.jpg,,,
1374863816299663364,"RT @ISCLancer : Looking to find more information on transferring? Over 50 universities will be hosting an online transfer fair on Friday, March 26 from 11am-1pm PST. Register at https://t.co/W1AUzYmFAc. #PCC #PCCISC #TransferStudent #Transfer #InternationalStudents https://t.co/FKUmjVmuvx",Crystal Kollross,IPROCrystal,2021-03-24T23:20:52.000Z,Wed Mar 24 23:20:52 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://l.ead.me/SP21UVTF ,5,0,photo,https://pbs.twimg.com/media/ExRfQxlXMAggMEj.jpg,,,
1374856119663915015,"When it comes to choosing the best degree programme as an international student, you will want to pick one with high-income potential https://t.co/KvvejL3OLu 

#internationaleducation #internationalstudents #studyabroad #overseaseducation #studyingabroad #studyinusa #usaeducation",Lurnable.com,lurnableedu,2021-03-24T22:50:17.000Z,Wed Mar 24 22:50:17 +0000 2021,0,0,en,"<a href=""https://social.zoho.com"" rel=""nofollow"">Zoho Social</a>",Tweet,https://bit.ly/3vRbpGF ,7,0,,,,,
1374854640429232128,"Fitness classes are back! ?? If you participated in our program Growing Healthy International students, book your fitness classes now on our website https://t.co/xONWy1GJte! ?? 
.
.
.
.
.
#Sydney #GrowingHealthy #InternationalStudents #HouseToGrow #EmotionalIntelligence https://t.co/QLSPb7PDLY",HouseToGrowAustralia,housetogrowAUS,2021-03-24T22:44:24.000Z,Wed Mar 24 22:44:24 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://www.housetogrow.org/growing-healthy ,5,0,photo,https://pbs.twimg.com/media/ExR29xQVEAQGzmA.jpg,,,
1374831723876339715,"RT @ISCLancer : Looking to find more information on transferring? Over 50 universities will be hosting an online transfer fair on Friday, March 26 from 11am-1pm PST. Register at https://t.co/W1AUzYmFAc. #PCC #PCCISC #TransferStudent #Transfer #InternationalStudents https://t.co/FKUmjVmuvx",PasadenaCityCollege,PCCLancer,2021-03-24T21:13:20.000Z,Wed Mar 24 21:13:20 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://l.ead.me/SP21UVTF ,5,0,photo,https://pbs.twimg.com/media/ExRfQxlXMAggMEj.jpg,,,
1374828718422700036,"Looking to find more information on transferring? Over 50 universities will be hosting an online transfer fair on Friday, March 26 from 11am-1pm PST. Register at https://t.co/W1AUzYmFAc. #PCC #PCCISC #TransferStudent #Transfer #InternationalStudents https://t.co/FKUmjVmuvx",ISC PCC,ISCLancer,2021-03-24T21:01:24.000Z,Wed Mar 24 21:01:24 +0000 2021,2,2,en,"<a href=""https://www.later.com"" rel=""nofollow"">LaterMedia</a>",Tweet,https://l.ead.me/SP21UVTF ,5,0,photo,https://pbs.twimg.com/media/ExRfQxlXMAggMEj.jpg,,,
1374824931142344707,"Now is the perfect time to become a host family for fall 2021! ???? Hosting an international student is the experience of a lifetime. 
Learn more: https://t.co/eSMxGN176d


#hostfamily #homestay #internationalstudents #hostforeignexchangestudents #family https://t.co/ydPRUG0Do2",StudentRoomStay,StudentRoomStay,2021-03-24T20:46:21.000Z,Wed Mar 24 20:46:21 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://go.studentroomstay.com/host_international_students ,5,0,photo,https://pbs.twimg.com/media/ExRb9QjU4AAXrfZ.jpg,,,
