Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1374864939853225986,"RT @edu_visa_global : Counted as one of the top study destinations. #USA has a multitude of high-ranking programs to choose from. 
Get 100% Fee Waiver for the upcoming Intake. Contact us for any queries at https://t.co/3OcKGmEEfD
#StudyInUSA #Education #StudyAbroad #Students #Scholarships #ApplyNow https://t.co/atJvfoR3J5",Education World,education_24x7,2021-03-24T23:25:20.000Z,Wed Mar 24 23:25:20 +0000 2021,0,0,en,,Retweet,https://edu-visa.com/contact/ ,7,0,photo,https://pbs.twimg.com/media/ExPfYErXIAAKEbY.jpg,,,
1374856119663915015,"When it comes to choosing the best degree programme as an international student, you will want to pick one with high-income potential https://t.co/KvvejL3OLu 

#internationaleducation #internationalstudents #studyabroad #overseaseducation #studyingabroad #studyinusa #usaeducation",Lurnable.com,lurnableedu,2021-03-24T22:50:17.000Z,Wed Mar 24 22:50:17 +0000 2021,0,0,en,"<a href=""https://social.zoho.com"" rel=""nofollow"">Zoho Social</a>",Tweet,https://bit.ly/3vRbpGF ,7,0,,,,,
1374852268357341187,"¿Buscas estudiar un posgrado en EE.UU. ?????

Te invitamos a unirte a esta actividad de #EducationUSAGdl
¡Conéctate con #EducationUSA y #USC para conocer los requisitos y el papel del comité de admisión! ?? 
Regístrate?? https://t.co/s0skvy8KUX

#EdUSAatHome #StudyinUSA #GradSchool https://t.co/w3wOqkL6mX",Internacionalización UdeG,udg_global,2021-03-24T22:34:58.000Z,Wed Mar 24 22:34:58 +0000 2021,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,http://bit.ly/GradMar ,6,0,photo,https://pbs.twimg.com/media/ExR02iaUYAEw4kS.jpg,,,
1374796739874586627,"RT @USinNigeria : Join United States Diplomat Madison Conoley on Rave 91.7 FM Osogbo at 9:00 a.m. tomorrow.   
#Diplomacy #USinNigeria #StudyinUSA #InvestinginNigeria https://t.co/Ae1hwPUKyl",Juliet 'Kego | #EndSARS #FixPolitics,julietkego,2021-03-24T18:54:19.000Z,Wed Mar 24 18:54:19 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,4,0,photo,https://pbs.twimg.com/media/ExL1SU_UcAE47OV.jpg,,,
1374783470237519874,"??TOMORROW?? Have you wondered what happens after you submit your application for a graduate program in the U.S.? ??Understand the admission process guided by #EducationUSA and #USC. See you there!  ??https://t.co/RQ9aYClOTF
#EdUSAatHome #StudyinUSA #GradSchool #GradStudents https://t.co/tk9xPw7KEN",EducationUSA Mexico,EducationUSAMX,2021-03-24T18:01:36.000Z,Wed Mar 24 18:01:36 +0000 2021,0,0,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Tweet,http://bit.ly/GradMar ,6,0,photo,https://pbs.twimg.com/media/ExQ2R9ZXAAAY0RS.jpg,,,
1374775549806182404,"LOOKing to learn English. Check out the link in our bio and *survey* our course offers, *view* our school locations, *examine* what we have to offer. We'd love to talk to you!  #wordcrushwednesday #wcw #WCW #look #scrutinize #look #inspect #talkenglishschool #letstalk #studyinUSA https://t.co/6k7wKHB44E",TALK English Schools,TALKEngSchools,2021-03-24T17:30:07.000Z,Wed Mar 24 17:30:07 +0000 2021,0,0,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Tweet,,10,0,photo,https://pbs.twimg.com/media/ExQvE7-XEAIYaRP.jpg,,,
1374740851486814210,"??TOMORROW?? Have you wondered what happens after you submit your application for a graduate program in the U.S.? ??Understand the admission process guided by #EducationUSA and #USC. See you there!  ??https://t.co/nGXQH4JVZa
#EdUSAatHome #StudyinUSA #GradSchool #GradStudents https://t.co/KjYV9aV603",EdUSAOAXACA,EdUSAOAXACA,2021-03-24T15:12:15.000Z,Wed Mar 24 15:12:15 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,http://bit.ly/GradMar ,6,0,photo,https://pbs.twimg.com/media/ExQPaU_WUAUXM-f.jpg,,,
1374736415595012101,#IELTS #StudyAbroad #Eduworldinternationasurat #OverseasEducation #StudiesOverseas #IELTSCoaching #IELTSTest #IELTSScore #IELTSPrep#OnlineCounselling #VirtualConnect #StudyAbroad #InternationalStudents #mastersdegree #DreamJob #Admission #StudyinUSA #StudyinUK #StudyinAustralia https://t.co/xgG5cCMEsP,"Edu World International Surat |IELTS,GRE COACHING",ArabAyaz,2021-03-24T14:54:37.000Z,Wed Mar 24 14:54:37 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,17,0,photo,https://pbs.twimg.com/media/ExQLZEcXEAYJEdP.jpg,,,
1374711880166469633,"Get admission in U.S.A top university. For more information, Contact us: +91 9718417575
Website URL : https://t.co/tlOPmlUhnB

#USAStudyVisa #StudyinAbroad #studyinusa #studyinuk #studyincanada #StudyinAustralia https://t.co/CVSVsniQIH",IELTS Eduversity,ieltseduversity,2021-03-24T13:17:07.000Z,Wed Mar 24 13:17:07 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,http://ieltseduversity.in ,6,0,photo,https://pbs.twimg.com/media/ExP1IdQXIAYmft0.jpg,,,
1374693729613844492,"Study in USA????????????
Admission in Associate Degree, Bachelor, Master, Ph.D
Apply through an Experienced Immigration &amp; Consulting Firm
For Details: https://t.co/htT24Nsw3d 

#StudyinUSA #USAVisa #USAF1Visa #USAImmigration #EuroImmigrationConsultant https://t.co/spsDHpFDjj",Euro Immigration Consultant Pakistan,EuroImmiConPak,2021-03-24T12:05:00.000Z,Wed Mar 24 12:05:00 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://euroimmiconsultant.pk/study-in-usa/ ,5,0,photo,https://pbs.twimg.com/media/ExC6fe5XMAAGeoE.jpg,,,
1374688505159241728,"Counted as one of the top study destinations. #USA has a multitude of high-ranking programs to choose from. 
Get 100% Fee Waiver for the upcoming Intake. Contact us for any queries at https://t.co/3OcKGmEEfD
#StudyInUSA #Education #StudyAbroad #Students #Scholarships #ApplyNow https://t.co/atJvfoR3J5",Edu Global Consulting Ltd.,edu_visa_global,2021-03-24T11:44:14.000Z,Wed Mar 24 11:44:14 +0000 2021,0,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://edu-visa.com/contact/ ,7,0,photo,https://pbs.twimg.com/media/ExPfYErXIAAKEbY.jpg,,,
1374680641678229507,"RT @jmj_services : JMJ assists the abroad education seekers with the best consultation services and ensures your admission is procured and your Study Visa is applied with perfect documentation. For more details, enroll with us now.

#StudyAbroadConsultants #StudyinUK #StudyinUSA #Visa  #Hyderabad https://t.co/ubAQCjckEy",Hyderabadi,Hyderabadbot,2021-03-24T11:12:59.000Z,Wed Mar 24 11:12:59 +0000 2021,0,0,en,"<a href=""https://twitter.com/RTHyderabad"" rel=""nofollow"">Norbert Elekes Telugu</a>",Retweet,,5,0,video,https://video.twimg.com/ext_tw_video/1374680528562049029/pu/pl/LgUNO_0sFcakeMD0.m3u8?tag=12,,,
1374680603681980416,"JMJ assists the abroad education seekers with the best consultation services and ensures your admission is procured and your Study Visa is applied with perfect documentation. For more details, enroll with us now.

#StudyAbroadConsultants #StudyinUK #StudyinUSA #Visa  #Hyderabad https://t.co/ubAQCjckEy",JMJ Educational Services,jmj_services,2021-03-24T11:12:50.000Z,Wed Mar 24 11:12:50 +0000 2021,1,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,5,0,video,https://video.twimg.com/ext_tw_video/1374680528562049029/pu/pl/LgUNO_0sFcakeMD0.m3u8?tag=12,,,
