Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs
1.3748677085215089e+18,khristys testimony    fight  endtransdetention  one   treated  way amp  must abolishice nuestra comunidad trans en ice merece ser libre  trans community  ice   freed potus secmayorkas eyesonice familiatqlm conmijente    w9ii5ck4ul,josh,joshfloresxo,2021-03-24T23:36:20.000Z,Wed Mar 24 23:36:20 +0000 2021,2,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/conmijente/status/1374865303843262467 ,3,4,,
1.3748625634234532e+18,whats  substantive difference    inhumane immigration policies treating people seeking refuge like sh    calling  country  sh thole   humanize  people   asking   friend potus abolishice    dp9rxtlhax,anthony m,Cedar_Anthony,2021-03-24T23:15:53.000Z,Wed Mar 24 23:15:53 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,1,photo,https://pbs.twimg.com/media/ExR-NpSXAAAb7to.jpg
1.3748262609296384e+18, amypond420 repmarkgreen housedemocrats speakerpelosi    dont b       humanitarian  abolishice    longer  concentration camps  keeping people inside   fucking pandemic  sensible stop acting like    everyone  vaccinated   open   fine chill,claudette ashley,ClaudetteAshl15,2021-03-24T20:51:38.000Z,Wed Mar 24 20:51:38 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,3,,
1.3748111311648604e+18, joshfloresxo today join familiatqlm amp conmijente pm pst   eyesonice accountability forum  learn    campaigns amp efforts  abolishice amp endtransdetention register     nfkzwdtb2r    h5p2gswvsf,jorge,JGpresente,2021-03-24T19:51:31.000Z,Wed Mar 24 19:51:31 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,http://secure.everyaction.com/wpwINuNLc0a1x- ,3,2,photo,https://pbs.twimg.com/media/ExRMjkJVEAIy_Ro.jpg
1.374807989647929e+18,today join familiatqlm amp conmijente pm pst   eyesonice accountability forum  learn    campaigns amp efforts  abolishice amp endtransdetention register     nfkzwdtb2r    h5p2gswvsf,josh,joshfloresxo,2021-03-24T19:39:02.000Z,Wed Mar 24 19:39:02 +0000 2021,1,1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,http://secure.everyaction.com/wpwINuNLc0a1x- ,3,2,photo,https://pbs.twimg.com/media/ExRMjkJVEAIy_Ro.jpg
1.3748069786110484e+18,dozens  newyork gathered  chuck schumers apartment building  brooklyn demanding   democratic senator fulfill  promises  immigrants   decriminalization  undocumented migration   united states    ajtkqwo7ng abolishice via mxtaliajane    jdgpuig998,protests media,ProtestsMedia,2021-03-24T19:35:01.000Z,Wed Mar 24 19:35:01 +0000 2021,1,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://protests.media/dozens-in-new-york-march-against-ice/ ,2,0,video,https://video.twimg.com/ext_tw_video/1374806935585820685/pu/vid/1280x720/0C628seaDWAMVeoc.mp4?tag=12
1.3747565747957678e+18, xulxiyut cant spell colonizer without  ice abolishice,cozcacuauhtli,cozca503,2021-03-24T16:14:43.000Z,Wed Mar 24 16:14:43 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,1,0,,
1.3747556252598682e+18,cant spell colonizer without  ice abolishice,xul xi yut still here,Xulxiyut,2021-03-24T16:10:57.000Z,Wed Mar 24 16:10:57 +0000 2021,38,11,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,,
1.3747084107179868e+18,anticolonial amam republiqueta acab abolishice colagem collage anticolonialism collage anarchism anarquismo anarchismus anarchismo colagem collage artvspolicebrutality amam    pv77kfeigc,amam,amam________,2021-03-24T13:03:20.000Z,Wed Mar 24 13:03:20 +0000 2021,0,0,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,19,0,photo,https://pbs.twimg.com/media/ExPyAzoWYAQnNhv.jpg
1.374702978087674e+18,amazing work  maketheroadny  help alonso reunite   family  months  ice detention   another reminder   need  abolishice  protect  communities    qvo2bn20c8,nlmh,NLMHlive,2021-03-24T12:41:45.000Z,Wed Mar 24 12:41:45 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://twitter.com/MaketheRoadNY/status/1374129198898483201 ,1,1,,
